Nouveau Code;Nouveau Nom;Anciens Code;Anciens Nom;Nouveau nom normalisé;Ancien nom normalisé;SIREN
32;Hauts-de-France;31;Nord-Pas-de-Calais;hauts de france;nord pas de calais;235900016
75;Nouvelle-Aquitaine;74;Limousin;nouvelle aquitaine;limousin;233300011
32;Hauts-de-France;31;Nord-Pas-de-Calais;hauts de france;nord pas de calais;200053742
75;Nouvelle-Aquitaine;74;Limousin;nouvelle aquitaine;limousin;238600019
76;Occitanie;73;Midi-Pyrénées;occitanie;midi pyrenees;233100015
27;Bourgogne-Franche-Comté;43;Franche-Comté;bourgogne franche comte;franche comte;232500017
52;Pays de la Loire;52;Pays de la Loire;pays de la loire;pays de la loire;234400034
44;Grand Est;41;Lorraine;grand est;lorraine;200052264
75;Nouvelle-Aquitaine;72;Aquitaine;nouvelle aquitaine;aquitaine;200053759
32;Hauts-de-France;22;Picardie;hauts de france;picardie;200053742
02;Martinique;02;Martinique;martinique;martinique;239720014
11;Ile-de-France;11;Ile-de-France;ile de france;ile de france;237500079
75;Nouvelle-Aquitaine;72;Aquitaine;nouvelle aquitaine;aquitaine;238708507
75;Nouvelle-Aquitaine;54;Poitou-Charentes;nouvelle aquitaine;poitou charentes;233300011
44;Grand Est;41;Lorraine;grand est;lorraine;236700019
44;Grand Est;41;Lorraine;grand est;lorraine;235100013
53;Bretagne;53;Bretagne;bretagne;bretagne;233500016
84;Auvergne-Rhône-Alpes;82;Rhône-Alpes;auvergne rhone alpes;rhone alpes;236900015
44;Grand Est;21;Champagne-Ardenne;grand est;champagne ardenne;200052264
44;Grand Est;41;Lorraine;grand est;lorraine;235700010
75;Nouvelle-Aquitaine;74;Limousin;nouvelle aquitaine;limousin;238708507
76;Occitanie;73;Midi-Pyrénées;occitanie;midi pyrenees;233400019
28;Normandie;23;Haute-Normandie;normandie;haute normandie;200053403
44;Grand Est;21;Champagne-Ardenne;grand est;champagne ardenne;235100013
03;Guyane;03;Guyane;guyane;guyane;200052678
44;Grand Est;42;Alsace;grand est;alsace;235700010
75;Nouvelle-Aquitaine;72;Aquitaine;nouvelle aquitaine;aquitaine;238600019
01;Guadeloupe;01;Guadeloupe;guadeloupe;guadeloupe;239710015
32;Hauts-de-France;22;Picardie;hauts de france;picardie;235900016
93;Provence-Alpes-Côte d'Azur;93;Provence-Alpes-Côte d'Azur;provence alpes cote d'azur;provence alpes cote d'azur;231300021
06;Mayotte;06;Mayotte;mayotte;mayotte;
28;Normandie;25;Basse-Normandie;normandie;basse normandie;200053403
44;Grand Est;42;Alsace;grand est;alsace;235100013
75;Nouvelle-Aquitaine;72;Aquitaine;nouvelle aquitaine;aquitaine;233300011
75;Nouvelle-Aquitaine;54;Poitou-Charentes;nouvelle aquitaine;poitou charentes;238708507
27;Bourgogne-Franche-Comté;43;Franche-Comté;bourgogne franche comte;franche comte;200053726
44;Grand Est;21;Champagne-Ardenne;grand est;champagne ardenne;235700010
84;Auvergne-Rhône-Alpes;82;Rhône-Alpes;auvergne rhone alpes;rhone alpes;200053767
84;Auvergne-Rhône-Alpes;83;Auvergne;auvergne rhone alpes;auvergne;236300018
94;Corse;94;Corse;corse;corse;232000018
28;Normandie;23;Haute-Normandie;normandie;haute normandie;231400011
04;La Réunion;04;La Réunion;la reunion;la reunion;239740012
27;Bourgogne-Franche-Comté;26;Bourgogne;bourgogne franche comte;bourgogne;200053726
32;Hauts-de-France;22;Picardie;hauts de france;picardie;238000038
32;Hauts-de-France;31;Nord-Pas-de-Calais;hauts de france;nord pas de calais;238000038
94;Corse;94;Corse;corse;corse;200076958
02;Martinique;02;Martinique;martinique;martinique;200055507
44;Grand Est;21;Champagne-Ardenne;grand est;champagne ardenne;236700019
75;Nouvelle-Aquitaine;54;Poitou-Charentes;nouvelle aquitaine;poitou charentes;200053759
76;Occitanie;73;Midi-Pyrénées;occitanie;midi pyrenees;200053791
76;Occitanie;91;Languedoc-Roussillon;occitanie;languedoc roussillon;200053791
28;Normandie;23;Haute-Normandie;normandie;haute normandie;237600010
76;Occitanie;91;Languedoc-Roussillon;occitanie;languedoc roussillon;233100015
84;Auvergne-Rhône-Alpes;82;Rhône-Alpes;auvergne rhone alpes;rhone alpes;236300018
84;Auvergne-Rhône-Alpes;83;Auvergne;auvergne rhone alpes;auvergne;236900015
24;Centre-Val de Loire;24;Centre;centre val de loire;centre;234500023
44;Grand Est;42;Alsace;grand est;alsace;200052264
75;Nouvelle-Aquitaine;74;Limousin;nouvelle aquitaine;limousin;200053759
76;Occitanie;91;Languedoc-Roussillon;occitanie;languedoc roussillon;233400019
27;Bourgogne-Franche-Comté;26;Bourgogne;bourgogne franche comte;bourgogne;232500017
44;Grand Est;42;Alsace;grand est;alsace;236700019
28;Normandie;25;Basse-Normandie;normandie;basse normandie;231400011
75;Nouvelle-Aquitaine;54;Poitou-Charentes;nouvelle aquitaine;poitou charentes;238600019
03;Guyane;03;Guyane;guyane;guyane;239730013
28;Normandie;25;Basse-Normandie;normandie;basse normandie;237600010
84;Auvergne-Rhône-Alpes;83;Auvergne;auvergne rhone alpes;auvergne;200053767
