"field";"search";"replaceBy";"restrict";"fieldRestrict";"strictly";"multiple";"comment"
"";"_";"-";"";"";FALSE;FALSE;""
"";"É";"E";"";"";FALSE;FALSE;""
"";"Ô";"O";"";"";FALSE;FALSE;""
"";"È";"E";"";"";FALSE;FALSE;""
"";"Â";"A";"";"";FALSE;FALSE;""
"";"Ë";"E";"";"";FALSE;FALSE;""
"";"Î";"I";"";"";FALSE;FALSE;""
"";"Ê";"E";"";"";FALSE;FALSE;""
"";"Ü";"U";"";"";FALSE;FALSE;""
"";"Û";"U";"";"";FALSE;FALSE;""
"";"Œ";"O";"";"";FALSE;FALSE;""
"";"\214";"O";"";"";FALSE;FALSE;"Le OE en format ANSI"
"";"\226";"";"";"";FALSE;FALSE;"supprimer un tiret protégé"
"COMMUNE";"(?:(?<!(^L(A|E)))((?<!(^LES))))\\s";"-";"";"";FALSE;FALSE;"Remplace les espaces par tiret sauf apres un article (le la les)  en debut de nom"
"COMMUNE";"(^[\\s,-]+|[\\s,-]+$|(?<=\\s)\\s|(?<=-)-)";"";"";"";FALSE;FALSE;"Supprime les espaces ou les tirets inutiles en début, fin et les espaces multiples"
"COMMUNE";"(?:(?<=(^L(A|E)))|((?<=(^LES))))-";" ";"";"";FALSE;FALSE;"Remplace le tiret apres un article (le la les) en debut de nom par un espace"
"COMMUNE";"[\\s,-]*\\(?[0-9]{1,2}|2[A,B]\\)?[\\s,-]*$";"";"";"";FALSE;FALSE;"Supprime les numeros de departement en fin de nom de commune"
"COMMUNE";"(?<![A-Z])ST-";"SAINT-";"";"";FALSE;FALSE;"Remplace ST par SAINT"
"COMMUNE";"-TREMBLAY";"";"";"";FALSE;FALSE;""
"COMMUNE";"CROIX-AUX-MINES-";"LA CROIX-AUX-MINES";"";"";TRUE;FALSE;""
"COMMUNE";"ASNIERES-DU-POITOU";"ASNIERES-EN-POITOU";"";"";TRUE;FALSE;""
"COMMUNE";"VILLAINE-LA-CARELLES";"VILLAINES-LA-CARELLE";"";"";TRUE;FALSE;""
"COMMUNE";"BAZOUGE-LA-PEROUSE";"BAZOUGES-LA-PEROUSE";"";"";TRUE;FALSE;""
"COMMUNE";"BAZOUGES-LA-PEROUZE";"BAZOUGES-LA-PEROUSE";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-ANASTASIE";"SAINTE-ANASTASIE";"";"";TRUE;FALSE;""
"COMMUNE";"FRAYSSE-SUR-AGOUT";"FRAISSE-SUR-AGOUT";"";"";TRUE;FALSE;""
"COMMUNE";"AVESNE-SUR-HELPE";"AVESNES-SUR-HELPE";"";"";TRUE;FALSE;""
"COMMUNE";"BRYAS";"BRIAS";"";"";TRUE;FALSE;""
