search;replaceBy;restrict;fieldRestrict;strictly;comment
"_";"-";;;FALSE;
"É";"E";;;FALSE;
"Ô";"O";;;FALSE;
"È";"E";;;FALSE;
"Â";"A";;;FALSE;
"Ë";"E";;;FALSE;
"Î";"I";;;FALSE;
"Ê";"E";;;FALSE;
"Ü";"U";;;FALSE;
"Û";"U";;;FALSE;
"Œ";"O";;;FALSE;
"\214";"O";;;FALSE;"Le OE en format ANSI"
"\226";"";;;FALSE;"supprimer un tiret protégé"
"(?:(?<!(^L(A|E)))((?<!(^LES))))\\s";"-";;;FALSE;"Remplace les espaces par tiret sauf apres un article (le la les)  en debut de nom"
"(^[\\s,-]+|[\\s,-]+$|(?<=\\s)\\s|(?<=-)-)";"";;;FALSE;"Supprime les espaces ou les tirets inutiles en début, fin et les espaces multiples"
"(?:(?<=(^L(A|E)))|((?<=(^LES))))-";" ";;;FALSE;"Remplace le tiret apres un article (le la les) en debut de nom par un espace"
"[\\s,-]*\\(?[0-9]{1,2}|2[A,B]\\)?[\\s,-]*$";"";;;FALSE;"Supprime les numeros de departement en fin de nom de commune"
"(?<![A-Z])ST-";"SAINT-";;;FALSE;"Remplace ST par SAINT"
"-TREMBLAY";"";;;FALSE;
"CROIX-AUX-MINES-";"LA CROIX-AUX-MINES";;;TRUE;
"ASNIERES-DU-POITOU";"ASNIERES-EN-POITOU";;;TRUE;
"VILLAINE-LA-CARELLES";"VILLAINES-LA-CARELLE" ;;;TRUE;
"BAZOUGE-LA-PEROUSE";"BAZOUGES-LA-PEROUSE";;;TRUE;
"BAZOUGES-LA-PEROUZE";"BAZOUGES-LA-PEROUSE";;;TRUE;
"SAINT-ANASTASIE";"SAINTE-ANASTASIE";;;TRUE;
"FRAYSSE-SUR-AGOUT";"FRAISSE-SUR-AGOUT";;;TRUE;
"AVESNE-SUR-HELPE";"AVESNES-SUR-HELPE";;;TRUE;
"BRYAS";"BRIAS";;;TRUE;
"ESCAUPONT";"ESCAUTPONT";;;TRUE;
"SAINT-DIE";"SAINT-DIE-DES-VOSGES";;;TRUE;
"SANT-ANDREA-D'ORCINO";"SANT'ANDREA-D'ORCINO";;;TRUE;
"PRUNELLI-DI-CASACONE";"PRUNELLI-DI-CASACCONI";;;TRUE;
"PRUNELLI-DI-FIUMORBU";"PRUNELLI-DI-FIUMORBO";;;TRUE;
"OLMI-CAPELLA";"OLMI-CAPPELLA";;;TRUE;
"SAINT-LOUP-SUR-THOUET";"SAINT-LOUP-LAMAIRE";;;TRUE;
"FAYE-L'ABESSE";"FAYE-L'ABBESSE";;;TRUE;
"SAINT-GEORGE-DE-NOISNE";"SAINT-GEORGES-DE-NOISNE";;;TRUE;
"BONHOMME";"LE BONHOMME";;;TRUE;
"WINTZFELDEN";"SOULTZMATT";;;TRUE;
"SAINTE-MAIRIE-AUX-MINES";"SAINTE-MARIE-AUX-MINES";;;TRUE;
"BROQUE";"LA BROQUE";;;TRUE;
"BAZOUGES-SOUS-HEDE";"HEDE-BAZOUGES";;;TRUE;
"SAINT-GEORGE-D'AUNAY";"SAINT-GEORGES-D'AUNAY";;;TRUE;
"CORRENÇON-EN-VERCORS";"CORRENCON-EN-VERCORS";;;TRUE;
"SAINT-BONNET-DE-TRONCAIS";"SAINT-BONNET-TRONCAIS";;;TRUE;
"CHAMPS-SUR-TARENTAINE";"CHAMPS-SUR-TARENTAINE-MARCHAL";;;TRUE;
"LA BESSEYRE-SAINTE-MARY";"LA BESSEYRE-SAINT-MARY";;;TRUE;
"BOENAT";"LALIZOLLE";;;TRUE;
"FRIDEFOND";"FRIDEFONT";;;TRUE;
"CHAPELLE-AUX-CHASSES";"LA CHAPELLE-AUX-CHASSES";;;TRUE;
"LAVAULT-SAINT-ANNE";"LAVAULT-SAINTE-ANNE";;;TRUE;
"DENEUIL-LES-MINES";"DENEUILLE-LES-MINES";;;TRUE;
"CHASTREIX--SANCY";"CHASTREIX";;;TRUE;
"MARSEILLE";"MARSEILLE--4E--ARRONDISSEMENT";"ONFtot";"ORIGINE";TRUE;
"LYON";"LYON--2E--ARRONDISSEMENT";"LPO_RA";"ORIGINE";TRUE;
"SAINT-LAURENT";"SAINT-LAURENT-SUR-OUST";"GMB1";"ORIGINE";TRUE;""
"PONT-DE-BUIS";"PONT-DE-BUIS-LES-QUIMERCH";"GMB1";"ORIGINE";TRUE;""
"SAINT-GUELVEN";"SAINT-GELVEN";"";"";TRUE;""
"SAINT-SERVAN";"SAINT-SERVANT";"";"";TRUE;""
"CHATEAUTHEBAUD";"CHATEAU-THEBAUD";"";"";TRUE;""
"PLEUCADEC";"PLEUCADEUC";"";"";TRUE;""
"SAINT-ETIENNE-GUE-DE-L'ISLE";"SAINT-ETIENNE-DU-GUE-DE-L'ISLE";"";"";TRUE;""
"PLOUHINEC)";"PLOUHINEC";"";"";TRUE;""
