CODE_REG,REGION,CODE_REG_ANCIEN,REGION_ANCIEN
32,HAUTS-DE-FRANCE,31,NORD-PAS-DE-CALAIS
75,NOUVELLE-AQUITAINE,74,LIMOUSIN
76,OCCITANIE,73,MIDI-PYRENEES
27,BOURGOGNE-FRANCHE-COMTE,43,FRANCHE-COMTE
52,PAYS-DE-LA-LOIRE,52,PAYS-DE-LA-LOIRE
44,GRAND-EST,41,LORRAINE
75,NOUVELLE-AQUITAINE,72,AQUITAINE
32,HAUTS-DE-FRANCE,22,PICARDIE
2,MARTINIQUE,2,MARTINIQUE
11,ILE-DE-FRANCE,11,ILE-DE-FRANCE
75,NOUVELLE-AQUITAINE,54,POITOU-CHARENTES
53,BRETAGNE,53,BRETAGNE
84,AUVERGNE-RHONE-ALPES,82,RHONE-ALPES
44,GRAND-EST,21,CHAMPAGNE-ARDENNE
28,NORMANDIE,23,HAUTE-NORMANDIE
3,GUYANE,3,GUYANE
44,GRAND-EST,42,ALSACE
1,GUADELOUPE,1,GUADELOUPE
93,PROVENCE-ALPES-COTE-D'AZUR,93,PROVENCE-ALPES-COTE-D'AZUR
6,MAYOTTE,6,MAYOTTE
28,NORMANDIE,25,BASSE-NORMANDIE
84,AUVERGNE-RHONE-ALPES,83,AUVERGNE
94,CORSE,94,CORSE
4,LA-REUNION,4,LA-REUNION
27,BOURGOGNE-FRANCHE-COMTE,26,BOURGOGNE
76,OCCITANIE,91,LANGUEDOC-ROUSSILLON
24,CENTRE-VAL-DE-LOIRE,24,CENTRE
